organisation_name,knowby_id,knowby_name,member_id,member_name,date,time
Knowby Examples,40a7a420-d3c4-449b-87cc-e9a7d15a81a3,SAP Transaction ME51N  Create Purchase Requisition,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,05/07/2025,17:38:16
Knowby Examples,40a7a420-d3c4-449b-87cc-e9a7d15a81a3,SAP Transaction ME51N  Create Purchase Requisition,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,05/07/2025,14:13:51
Knowby Examples,ba8ae272-6a2f-43c0-b061-45fe8cce4f9e,Chainsaw Basics: How to Use One Safely,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025,14:27:31
Knowby Examples,ba8ae272-6a2f-43c0-b061-45fe8cce4f9e,Chainsaw Basics: How to Use One Safely,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025,13:20:00
Knowby Examples,569b92f9-4d86-4601-a679-a4e379ef3f0c,Test ProRes,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025,08:36:09
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025,08:03:04
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025,14:32:48
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2024,14:00:07
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,10/06/2025,14:19:51
Knowby Examples,d9938932-255c-4397-a3e2-93f3136f6810,Trying to force crash android,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,17/10/2025,16:32:08
Knowby Examples,b1c74715-e222-403c-b87c-741a3b1e6dab,Safely Loading a Fuel Tanker Guide,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025,08:10:37
Knowby Examples,b1c74715-e222-403c-b87c-741a3b1e6dab,Safely Loading a Fuel Tanker Guide,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,15/09/2025,14:16:56
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025,08:57:09
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025,17:04:27
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025,08:29:49
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025,08:01:26
Knowby Examples,65c86e20-3861-49f8-a629-d9f11b2f816b,TEST - Creating a knowby on the web,4dd1-509e-67e290d9----bb68-afdb00c8af51,Cristian Gonzalez,27/09/2025,08:47:46
Knowby Examples,266908cb-0360-4d48-b35f-e3d674054110,okta - Configure Okta Verify,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2024,15:48:39
Knowby Examples,266908cb-0360-4d48-b35f-e3d674054110,okta - Configure Okta Verify,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025,11:34:10
Knowby Examples,266908cb-0360-4d48-b35f-e3d674054110,okta - Configure Okta Verify,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2024,11:28:25
Knowby Examples,2195b7fe-9dec-4964-919f-13e82c15f8c5,okta - Cloud Service Infrastructure,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,13:36:27
Knowby Examples,2195b7fe-9dec-4964-919f-13e82c15f8c5,okta - Cloud Service Infrastructure,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,08:48:09
Knowby Examples,2195b7fe-9dec-4964-919f-13e82c15f8c5,okta - Cloud Service Infrastructure,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,11:13:00
Knowby Examples,2195b7fe-9dec-4964-919f-13e82c15f8c5,okta - Cloud Service Infrastructure,4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025,11:26:07
Knowby Examples,d5c86907-2eb3-449c-aa1f-a9d17d3a0870,okta - Integration Network (OIN),4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,12:33:10
Knowby Examples,d5c86907-2eb3-449c-aa1f-a9d17d3a0870,okta - Integration Network (OIN),4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,15:54:24
Knowby Examples,d5c86907-2eb3-449c-aa1f-a9d17d3a0870,okta - Integration Network (OIN),4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/04/2025,11:32:32
Knowby Examples,d5c86907-2eb3-449c-aa1f-a9d17d3a0870,okta - Integration Network (OIN),4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025,16:38:40
Knowby Examples,d5c86907-2eb3-449c-aa1f-a9d17d3a0870,okta - Integration Network (OIN),4ed4-864f-db17168a----9128-a3c9ddb6e3ea,Carol Jones,09/06/2025,09:27:28
Knowby Examples,6c400e9f-0cec-47da-b73f-5fc1d82c96f1,Oven,4327-393b-53cbdfde----b9a4-aef900aa92ef,Kenneth Landry,14/01/2024,10:57:00
Knowby Examples,6c400e9f-0cec-47da-b73f-5fc1d82c96f1,Oven,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,26/08/2025,09:03:35
Knowby Examples,6c400e9f-0cec-47da-b73f-5fc1d82c96f1,Oven,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,30/08/2025,09:27:42
Knowby Examples,6c400e9f-0cec-47da-b73f-5fc1d82c96f1,Oven,44ed-a978-e8d990e2----8b3d-aef900a6bb99,Robert Perez,09/06/2025,17:55:31
